colony,whole.mean,mean.dose,round,treatment,replicate,biobest_origin,start_wet_weight,alive_at_end,dead_at_end,shut_down_dt,dry weight,days_alive,colony_duration,proportion,qro,dry,alive,dead,survived,died,logdays,dry_weight
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.21932,1,0,9/19/2022,0.0591,38,38,1,B3,0.0591,5,0,1,0,3.63758616,0.0591
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.24995,1,0,9/19/2022,0.08286,38,38,1,B3,0.08286,5,0,1,0,3.63758616,0.08286
3.3R2,0.846580556,919.0982303,2,3,3,B3,0.28367,1,0,9/19/2022,0.05551,38,38,1,B3,0.05551,5,0,1,0,3.63758616,0.05551
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.1432,0,1,9/22/2022,0.0535,23,43,0.534883721,B5,0.0535,3,2,0,1,3.135494216,0.0535
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.19801,0,1,9/22/2022,0.03801,23,43,0.534883721,B5,0.03801,3,2,0,1,3.135494216,0.03801
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.16675,1,0,9/22/2022,0.05021,43,43,1,B5,0.05021,3,2,1,0,3.761200116,0.05021
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.19307,1,0,9/22/2022,0.08082,43,43,1,B5,0.08082,3,2,1,0,3.761200116,0.08082
3.4R2,0.412043333,406.2087499,2,3,4,B5,0.16211,1,0,9/22/2022,0.04117,43,43,1,B5,0.04117,3,2,1,0,3.761200116,0.04117
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.2107,1,0,9/21/2022,0.04817,40,40,1,B4,0.04817,4,1,1,0,3.688879454,0.04817
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.2454,1,0,9/21/2022,0.04078,40,40,1,B4,0.04078,4,1,1,0,3.688879454,0.04078
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.24435,1,0,9/21/2022,0.07347,40,40,1,B4,0.07347,4,1,1,0,3.688879454,0.07347
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.19005,0,1,9/21/2022,0.05927,39,40,0.975,B4,0.05927,4,1,0,1,3.663561646,0.05927
3.5R2,0.890621053,969.8969038,2,3,5,B4,0.30418,1,0,9/21/2022,0.09418,40,40,1,B4,0.09418,4,1,1,0,3.688879454,0.09418
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.17755,1,0,9/30/2022,0.0716,47,47,1,B1,0.0716,5,0,1,0,3.850147602,0.0716
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.24259,1,0,9/30/2022,0.03518,47,47,1,B1,0.03518,5,0,1,0,3.850147602,0.03518
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.17794,1,0,9/30/2022,0.05582,47,47,1,B1,0.05582,5,0,1,0,3.850147602,0.05582
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.26609,1,0,9/30/2022,0.03915,47,47,1,B1,0.03915,5,0,1,0,3.850147602,0.03915
3.7R2,0.626667955,720.4781106,2,3,7,B1,0.20702,1,0,9/30/2022,0.04443,47,47,1,B1,0.04443,5,0,1,0,3.850147602,0.04443
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.19399,1,0,9/28/2022,0.02356,41,41,1,B1,0.02356,5,0,1,0,3.713572067,0.02356
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.10467,1,0,9/28/2022,0.05742,39,39,1,B1,0.05742,5,0,1,0,3.663561646,0.05742
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.1496,1,0,9/28/2022,0.03065,41,41,1,B1,0.03065,5,0,1,0,3.713572067,0.03065
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.13292,1,0,9/28/2022,0.02726,41,41,1,B1,0.02726,5,0,1,0,3.713572067,0.02726
3.9R2,0.440951053,417.9884856,2,3,9,B1,0.09707,1,0,9/28/2022,0.05571,41,41,1,B1,0.05571,5,0,1,0,3.713572067,0.05571
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.17488,1,0,9/29/2022,0.02813,40,40,1,B1,0.02813,5,0,1,0,3.688879454,0.02813
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.15882,1,0,9/29/2022,0.03342,40,40,1,B1,0.03342,5,0,1,0,3.688879454,0.03342
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.37784,1,0,9/29/2022,0.09359,40,40,1,B1,0.09359,5,0,1,0,3.688879454,0.09359
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.15537,1,0,9/29/2022,0.02234,40,40,1,B1,0.02234,5,0,1,0,3.688879454,0.02234
4.11R2,0.345601111,3697.922532,2,4,11,B1,0.17664,1,0,9/29/2022,0.0385,40,40,1,B1,0.0385,5,0,1,0,3.688879454,0.0385
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.10792,1,0,10/7/2022,0.02359,46,46,1,B1,0.02359,3,2,1,0,3.828641396,0.02359
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.0251,1,0,10/7/2022,0.03533,46,46,1,B1,0.03533,3,2,1,0,3.828641396,0.03533
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.16132,1,0,10/7/2022,0.03328,46,46,1,B1,0.03328,3,2,1,0,3.828641396,0.03328
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.10293,0,1,10/19/2022,0.03441,5,58,0.086206897,B1,0.03441,3,2,0,1,1.609437912,0.03441
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.09287,0,1,10/7/2022,0.03652,46,46,1,B1,0.03652,3,2,0,1,3.828641396,0.03652
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.10041,1,0,9/21/2022,0.04347,42,42,1,B1,0.04347,5,0,1,0,3.737669618,0.04347
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.11223,1,0,9/21/2022,0.04431,42,42,1,B1,0.04431,5,0,1,0,3.737669618,0.04431
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.07871,1,0,9/21/2022,0.0595,42,42,1,B1,0.0595,5,0,1,0,3.737669618,0.0595
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.10184,1,0,9/21/2022,0.04935,42,42,1,B1,0.04935,5,0,1,0,3.737669618,0.04935
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.15402,1,0,9/21/2022,0.03713,42,42,1,B1,0.03713,5,0,1,0,3.737669618,0.03713
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.11087,1,0,9/24/2022,0.04061,41,41,1,B5,0.04061,3,2,1,0,3.713572067,0.04061
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.15895,1,0,9/24/2022,0.03169,41,41,1,B5,0.03169,3,2,1,0,3.713572067,0.03169
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.15895,1,0,9/24/2022,0.03487,41,41,1,B5,0.03487,3,2,1,0,3.713572067,0.03487
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.17413,0,1,9/24/2022,0.08811,36,41,0.87804878,B5,0.08811,3,2,0,1,3.583518938,0.08811
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.17054,0,1,9/24/2022,0.02859,39,41,0.951219512,B5,0.02859,3,2,0,1,3.663561646,0.02859
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.25191,1,0,9/19/2022,0.09836,40,40,1,B3,0.09836,5,0,1,0,3.688879454,0.09836
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.21695,1,0,9/19/2022,0.03696,40,40,1,B3,0.03696,5,0,1,0,3.688879454,0.03696
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.19497,1,0,9/19/2022,0.04045,40,40,1,B3,0.04045,5,0,1,0,3.688879454,0.04045
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.23533,1,0,9/19/2022,0.06551,40,40,1,B3,0.06551,5,0,1,0,3.688879454,0.06551
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.16444,1,0,9/19/2022,0.04931,40,40,1,B3,0.04931,5,0,1,0,3.688879454,0.04931
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.33799,1,0,9/19/2022,0.06175,40,40,1,B5,0.06175,5,0,1,0,3.688879454,0.06175
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.30578,1,0,9/19/2022,0.10903,40,40,1,B5,0.10903,5,0,1,0,3.688879454,0.10903
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.32634,1,0,9/19/2022,0.08453,40,40,1,B5,0.08453,5,0,1,0,3.688879454,0.08453
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.24552,1,0,9/19/2022,0.08078,40,40,1,B5,0.08078,5,0,1,0,3.688879454,0.08078
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.20482,1,0,9/19/2022,0.10796,40,40,1,B5,0.10796,5,0,1,0,3.688879454,0.10796
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.11587,1,0,9/11/2022,0.05695,26,26,1,B4,0.05695,0,5,1,0,3.258096538,0.05695
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.18927,0,1,9/11/2022,0.04032,6,28,0.214285714,B4,0.04032,0,5,0,1,1.791759469,0.04032
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.15311,0,1,9/11/2022,0.04652,28,28,1,B4,0.04652,0,5,0,1,3.33220451,0.04652
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.17848,0,1,9/11/2022,0.02481,4,28,0.142857143,B4,0.02481,0,5,0,1,1.386294361,0.02481
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.14952,0,1,9/11/2022,0.03049,6,28,0.214285714,B4,0.03049,0,5,0,1,1.791759469,0.03049
4.7R2,0.62374,7030.063452,2,4,7,B1,0.15795,1,0,9/11/2022,0.0536,28,28,1,B1,0.0536,5,0,1,0,3.33220451,0.0536
4.7R2,0.62374,7030.063452,2,4,7,B1,0.26514,1,0,9/20/2022,0.03286,37,37,1,B1,0.03286,5,0,1,0,3.610917913,0.03286
4.7R2,0.62374,7030.063452,2,4,7,B1,0.20378,1,0,9/20/2022,0.04104,37,37,1,B1,0.04104,5,0,1,0,3.610917913,0.04104
4.7R2,0.62374,7030.063452,2,4,7,B1,0.17027,1,0,9/20/2022,0.05196,37,37,1,B1,0.05196,5,0,1,0,3.610917913,0.05196
4.7R2,0.62374,7030.063452,2,4,7,B1,0.21819,1,0,9/20/2022,0.03965,37,37,1,B1,0.03965,5,0,1,0,3.610917913,0.03965
4.9R2,0.532295,5682.260108,2,4,9,B1,0.0914,1,0,9/23/2022,0.03877,40,40,1,B1,0.03877,4,1,1,0,3.688879454,0.03877
4.9R2,0.532295,5682.260108,2,4,9,B1,0.16183,1,0,9/23/2022,0.03913,40,40,1,B1,0.03913,4,1,1,0,3.688879454,0.03913
4.9R2,0.532295,5682.260108,2,4,9,B1,0.19407,1,0,9/23/2022,0.04637,40,40,1,B1,0.04637,4,1,1,0,3.688879454,0.04637
4.9R2,0.532295,5682.260108,2,4,9,B1,0.14405,1,0,9/23/2022,0.03074,40,40,1,B1,0.03074,4,1,1,0,3.688879454,0.03074
5.11R2,0.411396,43070.09972,2,5,11,B1,0.1286,1,0,10/2/2022,0.03511,41,41,1,B1,0.03511,5,0,1,0,3.713572067,0.03511
5.11R2,0.411396,43070.09972,2,5,11,B1,0.18473,1,0,10/2/2022,0.06095,41,41,1,B1,0.06095,5,0,1,0,3.713572067,0.06095
5.11R2,0.411396,43070.09972,2,5,11,B1,0.09374,1,0,10/2/2022,0.02919,41,41,1,B1,0.02919,5,0,1,0,3.713572067,0.02919
5.11R2,0.411396,43070.09972,2,5,11,B1,0.0737,1,0,10/2/2022,0.02697,41,41,1,B1,0.02697,5,0,1,0,3.713572067,0.02697
5.11R2,0.411396,43070.09972,2,5,11,B1,0.13093,1,0,10/2/2022,0.04786,41,41,1,B1,0.04786,5,0,1,0,3.713572067,0.04786
5.12R2,0.207774074,15383.81515,2,5,12,B1,0.12702,1,0,10/19/2022,0.02697,58,58,1,B1,0.02697,5,0,1,0,4.060443011,0.02697
5.12R2,0.207774074,15383.81515,2,5,12,B1,0.07398,1,0,10/19/2022,0.03495,58,58,1,B1,0.03495,5,0,1,0,4.060443011,0.03495
5.12R2,0.207774074,15383.81515,2,5,12,B1,0.10326,1,0,10/19/2022,0.03352,58,58,1,B1,0.03352,5,0,1,0,4.060443011,0.03352
5.12R2,0.207774074,15383.81515,2,5,12,B1,0.18367,1,0,10/19/2022,0.05467,58,58,1,B1,0.05467,5,0,1,0,4.060443011,0.05467
5.12R2,0.207774074,15383.81515,2,5,12,B1,0.14199,1,0,10/19/2022,0.0375,58,58,1,B1,0.0375,5,0,1,0,4.060443011,0.0375
5.1R2,0.378228571,37367.48316,2,5,1,B1,0.0939,1,0,9/23/2022,0.026882,44,44,1,B1,0.026882,5,0,1,0,3.784189634,0.026882
5.1R2,0.378228571,37367.48316,2,5,1,B1,0.14123,1,0,9/23/2022,0.05814,44,44,1,B1,0.05814,5,0,1,0,3.784189634,0.05814
5.1R2,0.378228571,37367.48316,2,5,1,B1,0.10525,1,0,9/23/2022,0.03242,44,44,1,B1,0.03242,5,0,1,0,3.784189634,0.03242
5.1R2,0.378228571,37367.48316,2,5,1,B1,0.19479,1,0,9/23/2022,0.03943,44,44,1,B1,0.03943,5,0,1,0,3.784189634,0.03943
5.1R2,0.378228571,37367.48316,2,5,1,B1,0.1722,1,0,9/23/2022,0.04437,44,44,1,B1,0.04437,5,0,1,0,3.784189634,0.04437
5.2R2,0.491246818,52985.85612,2,5,2,B5,0.23208,1,0,9/28/2022,0.02692,45,45,1,B5,0.02692,4,1,1,0,3.80666249,0.02692
5.2R2,0.491246818,52985.85612,2,5,2,B5,0.29106,1,0,9/28/2022,0.08095,45,45,1,B5,0.08095,4,1,1,0,3.80666249,0.08095
5.2R2,0.491246818,52985.85612,2,5,2,B5,0.12995,1,0,9/28/2022,0.04413,45,45,1,B5,0.04413,4,1,1,0,3.80666249,0.04413
5.2R2,0.491246818,52985.85612,2,5,2,B5,0.15108,0,1,9/28/2022,0.04243,29,45,0.644444444,B5,0.04243,4,1,0,1,3.36729583,0.04243
5.2R2,0.491246818,52985.85612,2,5,2,B5,0.16345,1,0,9/28/2022,0.08072,45,45,1,B5,0.08072,4,1,1,0,3.80666249,0.08072
5.3R2,0.212877778,16364.60071,2,5,3,B3,0.12641,0,1,8/30/2022,0.03995,19,20,0.95,B3,0.03995,0,5,0,1,2.944438979,0.03995
5.3R2,0.212877778,16364.60071,2,5,3,B3,0.19567,0,1,8/30/2022,0.04461,19,20,0.95,B3,0.04461,0,5,0,1,2.944438979,0.04461
5.3R2,0.212877778,16364.60071,2,5,3,B3,0.14019,0,1,8/30/2022,0.0582,19,20,0.95,B3,0.0582,0,5,0,1,2.944438979,0.0582
5.3R2,0.212877778,16364.60071,2,5,3,B3,0.24865,0,1,8/30/2022,0.05091,19,20,0.95,B3,0.05091,0,5,0,1,2.944438979,0.05091
5.3R2,0.212877778,16364.60071,2,5,3,B3,0.22872,0,1,8/30/2022,0.07661,20,20,1,B3,0.07661,0,5,0,1,2.995732274,0.07661
5.4R2,0.4563045,48624.01684,2,5,4,B5,0.21291,1,0,9/22/2022,0.07872,41,41,1,B5,0.07872,5,0,1,0,3.713572067,0.07872
5.4R2,0.4563045,48624.01684,2,5,4,B5,0.188874,1,0,9/22/2022,0.05074,41,41,1,B5,0.05074,5,0,1,0,3.713572067,0.05074
5.4R2,0.4563045,48624.01684,2,5,4,B5,0.14902,1,0,9/22/2022,0.03782,41,41,1,B5,0.03782,5,0,1,0,3.713572067,0.03782
5.4R2,0.4563045,48624.01684,2,5,4,B5,0.17938,1,0,9/22/2022,0.03811,41,41,1,B5,0.03811,5,0,1,0,3.713572067,0.03811
5.4R2,0.4563045,48624.01684,2,5,4,B5,0.14455,1,0,9/22/2022,0.0456,41,41,1,B5,0.0456,5,0,1,0,3.713572067,0.0456
5.5R2,0.709547895,82144.93157,2,5,5,B4,0.11961,1,0,9/20/2022,0.08624,41,41,1,B4,0.08624,5,0,1,0,3.713572067,0.08624
5.5R2,0.709547895,82144.93157,2,5,5,B4,0.18344,1,0,9/20/2022,0.05763,41,41,1,B4,0.05763,5,0,1,0,3.713572067,0.05763
5.5R2,0.709547895,82144.93157,2,5,5,B4,0.22924,1,0,9/20/2022,0.07356,41,41,1,B4,0.07356,5,0,1,0,3.713572067,0.07356
5.5R2,0.709547895,82144.93157,2,5,5,B4,0.24752,1,0,9/20/2022,0.08846,41,41,1,B4,0.08846,5,0,1,0,3.713572067,0.08846
5.5R2,0.709547895,82144.93157,2,5,5,B4,0.23484,1,0,9/20/2022,0.03618,41,41,1,B4,0.03618,5,0,1,0,3.713572067,0.03618
5.7R2,0.611318889,67415.74103,2,5,7,B1,0.16312,1,0,9/20/2022,0.06402,37,37,1,B1,0.06402,5,0,1,0,3.610917913,0.06402
5.7R2,0.611318889,67415.74103,2,5,7,B1,0.16437,1,0,9/20/2022,0.03091,37,37,1,B1,0.03091,5,0,1,0,3.610917913,0.03091
5.7R2,0.611318889,67415.74103,2,5,7,B1,0.20981,1,0,9/20/2022,0.0366,37,37,1,B1,0.0366,5,0,1,0,3.610917913,0.0366
5.7R2,0.611318889,67415.74103,2,5,7,B1,0.15649,1,0,9/20/2022,0.04445,37,37,1,B1,0.04445,5,0,1,0,3.610917913,0.04445
5.7R2,0.611318889,67415.74103,2,5,7,B1,0.12892,1,0,9/20/2022,0.05767,37,37,1,B1,0.05767,5,0,1,0,3.610917913,0.05767
5.9R2,0.418829048,42601.2723,2,5,9,B1,0.29464,1,0,10/1/2022,0.03213,46,46,1,B1,0.03213,5,0,1,0,3.828641396,0.03213
5.9R2,0.418829048,42601.2723,2,5,9,B1,0.25839,1,0,10/1/2022,0.03662,46,46,1,B1,0.03662,5,0,1,0,3.828641396,0.03662
5.9R2,0.418829048,42601.2723,2,5,9,B1,0.40292,1,0,10/1/2022,0.0329,46,46,1,B1,0.0329,5,0,1,0,3.828641396,0.0329
5.9R2,0.418829048,42601.2723,2,5,9,B1,0.19861,1,0,10/1/2022,0.02936,46,46,1,B1,0.02936,5,0,1,0,3.828641396,0.02936
5.9R2,0.418829048,42601.2723,2,5,9,B1,0.04769,1,0,10/1/2022,0.05846,40,40,1,B1,0.05846,5,0,1,0,3.688879454,0.05846
